Proteins	Accession	MW	EMT.RB3.01	EMT.RB3.02	EMT.RB3.03	EMT.RB4.01	EMT.RB4.02	EMT.RB4.03	Ctrl.RB3.01	Ctrl.RB3.02	Ctrl.RB3.03	Ctrl.RB4.01	Ctrl.RB4.02	Ctrl.RB4.03
Glypican-1 OS=Homo sapiens GN=GPC1 PE=1 SV=2	GPC1_HUMAN	62 kDa	27	26	22	31	31	30	38	41	34	47	47	46
Insulin-like growth factor-binding protein 3 OS=Homo sapiens GN=IGFBP3 PE=1 SV=2	IBP3_HUMAN	32 kDa	31	47	33	29	36	33	25	31	21	22	24	24
Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3	SYTC_HUMAN	83 kDa	30	33	34	33	36	35	39	40	38	38	30	40
Desmoglein-2 OS=Homo sapiens GN=DSG2 PE=1 SV=2	DSG2_HUMAN	122 kDa	37	43	38	42	42	43	23	28	21	29	29	25
Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	CO3_HUMAN	187 kDa	17	13	22	22	20	12	39	46	28	58	44	46
Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	AHNK_HUMAN	629 kDa	12	13	13	12	9	8	41	45	34	29	20	21
Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	SAHH_HUMAN	48 kDa	30	32	32	31	29	33	45	42	35	41	42	40
Proliferation-associated protein 2G4 OS=Homo sapiens GN=PA2G4 PE=1 SV=3	PA2G4_HUMAN	44 kDa	37	35	32	27	32	32	36	38	38	39	34	33
Guanine nucleotide-binding protein subunit beta-2-like 1 OS=Homo sapiens GN=GNB2L1 PE=1 SV=3	GBLP_HUMAN	35 kDa	25	28	29	31	26	22	48	44	38	44	33	36
EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens GN=EFEMP1 PE=1 SV=2	FBLN3_HUMAN	55 kDa	28	29	27	28	24	25	38	42	28	48	34	36
Kynureninase OS=Homo sapiens GN=KYNU PE=1 SV=1	KYNU_HUMAN	52 kDa	19	17	17	20	17	16	45	42	42	52	37	40
Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	MYH9_HUMAN	227 kDa	50	58	57	49	45	42	11	13	5	20	6	12
Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=1 SV=1	LG3BP_HUMAN	65 kDa	18	22	19	18	23	23	40	43	39	42	44	44
Beta-hexosaminidase subunit alpha OS=Homo sapiens GN=HEXA PE=1 SV=2	HEXA_HUMAN	61 kDa	17	22	24	24	21	20	35	40	36	37	34	38
LIM and SH3 domain protein 1 OS=Homo sapiens GN=LASP1 PE=1 SV=2	LASP1_HUMAN	30 kDa	12	21	21	14	17	22	34	35	27	24	28	29
Alpha-2-macroglobulin OS=Bos taurus GN=A2M PE=1 SV=2	A2MG_BOVIN	168 kDa	19	17	19	25	19	27	22	16	18	32	32	22
60 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPD1 PE=1 SV=2	CH60_HUMAN	61 kDa	22	22	26	37	33	31	27	34	25	45	36	37
Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1	TBA1B_HUMAN	50 kDa	26	29	25	29	27	29	46	45	38	31	25	23
Annexin A1 OS=Homo sapiens GN=ANXA1 PE=1 SV=2	ANXA1_HUMAN	39 kDa	26	23	24	25	25	24	48	44	35	43	36	32
Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2	LEG1_HUMAN	15 kDa	33	36	36	34	33	36	33	29	30	25	28	30
Proteasome subunit alpha type-4 OS=Homo sapiens GN=PSMA4 PE=1 SV=1	PSA4_HUMAN	29 kDa	35	32	31	32	25	24	33	35	24	27	23	24
Latent-transforming growth factor beta-binding protein 2 OS=Homo sapiens GN=LTBP2 PE=1 SV=3	LTBP2_HUMAN	195 kDa	49	54	49	57	48	53	5	7	4	11	9	5
Neogenin OS=Homo sapiens GN=NEO1 PE=1 SV=2	NEO1_HUMAN	160 kDa	29	29	28	36	25	31	29	24	25	39	27	29
Beta-hexosaminidase subunit beta OS=Homo sapiens GN=HEXB PE=1 SV=3	HEXB_HUMAN	63 kDa	18	18	20	25	20	23	34	34	30	39	35	37
Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2	PDIA4_HUMAN	73 kDa	21	29	22	29	26	22	32	43	34	26	25	23
Cochlin OS=Homo sapiens GN=COCH PE=1 SV=1	COCH_HUMAN	59 kDa	28	29	29	30	33	34	25	28	22	29	29	26
Sulfhydryl oxidase 1 OS=Homo sapiens GN=QSOX1 PE=1 SV=3	QSOX1_HUMAN	83 kDa	36	32	29	34	26	25	29	31	25	40	29	30
Keratin, type II cytoskeletal 1 OS=Homo sapiens GN=KRT1 PE=1 SV=6	K2C1_HUMAN	66 kDa	26	24	22	1	1	1	1	5	1	92	94	84
Malate dehydrogenase, cytoplasmic OS=Homo sapiens GN=MDH1 PE=1 SV=4	MDHC_HUMAN	36 kDa	25	28	28	31	27	34	32	32	25	31	30	30
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 OS=Homo sapiens GN=PLOD2 PE=1 SV=2	PLOD2_HUMAN	85 kDa	25	22	15	20	20	18	33	37	25	45	34	30
CD109 antigen OS=Homo sapiens GN=CD109 PE=1 SV=2	CD109_HUMAN	162 kDa	3	3	3	5	6	4	56	58	49	51	50	47
CD166 antigen OS=Homo sapiens GN=ALCAM PE=1 SV=2	CD166_HUMAN	65 kDa	19	20	16	20	20	23	31	34	27	36	35	27
Beta-2-microglobulin OS=Homo sapiens GN=B2M PE=1 SV=1	B2MG_HUMAN	14 kDa	28	26	25	28	21	19	38	33	25	32	30	25
Contactin-1 OS=Homo sapiens GN=CNTN1 PE=1 SV=1	CNTN1_HUMAN	113 kDa	0	0	0	0	0	0	60	61	57	64	53	48
Glyoxalase domain-containing protein 4 OS=Homo sapiens GN=GLOD4 PE=1 SV=1	GLOD4_HUMAN	35 kDa	25	26	27	24	26	26	29	32	29	27	27	30
Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1	STIP1_HUMAN	63 kDa	25	28	30	25	24	23	37	37	31	26	18	23
Heat shock protein 105 kDa OS=Homo sapiens GN=HSPH1 PE=1 SV=1	HS105_HUMAN	97 kDa	21	24	25	28	24	24	38	40	33	30	24	25
Cathepsin Z OS=Homo sapiens GN=CTSZ PE=1 SV=1	CATZ_HUMAN	34 kDa	18	21	19	18	20	19	36	36	29	37	35	31
Heat shock protein beta-1 OS=Homo sapiens GN=HSPB1 PE=1 SV=2	HSPB1_HUMAN	23 kDa	38	47	45	41	49	44	11	11	13	11	10	11
Prostaglandin reductase 1 OS=Homo sapiens GN=PTGR1 PE=1 SV=2	PTGR1_HUMAN	36 kDa	22	22	18	20	23	19	40	40	36	39	33	28
Tubulin beta chain OS=Homo sapiens GN=TUBB PE=1 SV=2	TBB5_HUMAN	50 kDa	25	21	22	18	22	24	52	50	43	24	22	22
Translationally-controlled tumor protein OS=Homo sapiens GN=TPT1 PE=1 SV=1	TCTP_HUMAN	20 kDa	21	21	21	19	20	24	27	27	28	25	21	21
Hepatocyte growth factor receptor OS=Homo sapiens GN=MET PE=1 SV=4	MET_HUMAN	156 kDa	24	26	25	26	23	28	31	33	28	29	30	27
N-acetylglucosamine-6-sulfatase OS=Homo sapiens GN=GNS PE=1 SV=3	GNS_HUMAN	62 kDa	21	19	16	20	18	17	32	33	30	32	32	32
Nucleoside diphosphate kinase A OS=Homo sapiens GN=NME1 PE=1 SV=1	NDKA_HUMAN	17 kDa	54	59	60	58	56	58	66	67	58	65	62	60
RNA-binding protein FUS OS=Homo sapiens GN=FUS PE=1 SV=1	FUS_HUMAN	53 kDa	23	22	24	25	19	25	31	26	22	32	29	22
Coactosin-like protein OS=Homo sapiens GN=COTL1 PE=1 SV=3	COTL1_HUMAN	16 kDa	14	20	16	18	20	23	26	27	20	21	25	23
Serine protease HTRA1 OS=Homo sapiens GN=HTRA1 PE=1 SV=1	HTRA1_HUMAN	51 kDa	41	44	45	37	32	29	15	15	14	11	8	12
Beta-2-glycoprotein 1 OS=Bos taurus GN=APOH PE=1 SV=4	APOH_BOVIN	38 kDa	32	28	32	37	30	34	25	12	21	17	33	27
Serglycin OS=Homo sapiens GN=SRGN PE=1 SV=3	SRGN_HUMAN	18 kDa	10	11	12	15	14	12	34	32	36	35	33	32
Keratin, type I cytoskeletal 9 OS=Homo sapiens GN=KRT9 PE=1 SV=3	K1C9_HUMAN	62 kDa	14	16	17	0	0	1	4	4	2	89	77	75
Alpha-1-antiproteinase OS=Bos taurus GN=SERPINA1 PE=1 SV=1	A1AT_BOVIN	46 kDa	27	18	18	31	22	23	22	7	11	24	29	26
Proprotein convertase subtilisin/kexin type 9 OS=Homo sapiens GN=PCSK9 PE=1 SV=3	PCSK9_HUMAN	74 kDa	3	3	5	4	2	2	53	50	46	54	45	41
Aminopeptidase B OS=Homo sapiens GN=RNPEP PE=1 SV=2	AMPB_HUMAN	73 kDa	26	24	22	23	23	21	31	37	22	33	22	26
Protein SET OS=Homo sapiens GN=SET PE=1 SV=3	SET_HUMAN	33 kDa	22	24	24	12	13	14	37	31	29	24	27	22
Platelet-derived growth factor D OS=Homo sapiens GN=PDGFD PE=1 SV=1	PDGFD_HUMAN	43 kDa	10	9	10	10	10	9	35	35	31	35	36	34
High mobility group protein B1 OS=Homo sapiens GN=HMGB1 PE=1 SV=3	HMGB1_HUMAN	25 kDa	35	36	34	16	18	16	44	29	37	18	22	18
Proteasome subunit beta type-1 OS=Homo sapiens GN=PSMB1 PE=1 SV=2	PSB1_HUMAN	26 kDa	25	26	21	21	22	22	31	36	22	35	23	28
Spectrin beta chain, brain 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2	SPTB2_HUMAN	275 kDa	36	36	35	27	25	21	16	25	17	28	13	16
IgGFc-binding protein OS=Homo sapiens GN=FCGBP PE=1 SV=3	FCGBP_HUMAN	572 kDa	0	0	0	0	0	0	56	58	48	45	36	34
Lupus La protein OS=Homo sapiens GN=SSB PE=1 SV=2	LA_HUMAN	47 kDa	26	22	20	19	18	13	32	32	27	23	21	18
Vesicular integral-membrane protein VIP36 OS=Homo sapiens GN=LMAN2 PE=1 SV=1	LMAN2_HUMAN	40 kDa	16	22	19	22	16	19	32	30	29	30	29	32
Prothymosin alpha OS=Homo sapiens GN=PTMA PE=1 SV=2	PTMA_HUMAN	12 kDa	20	29	25	27	20	21	32	30	27	33	25	24
Polypeptide N-acetylgalactosaminyltransferase 10 OS=Homo sapiens GN=GALNT10 PE=1 SV=2	GLT10_HUMAN	69 kDa	21	24	24	22	26	23	25	27	18	35	25	23
Glutathione S-transferase omega-1 OS=Homo sapiens GN=GSTO1 PE=1 SV=2	GSTO1_HUMAN	28 kDa	21	24	21	24	25	25	23	20	21	16	17	18
Actin-related protein 3 OS=Homo sapiens GN=ACTR3 PE=1 SV=3	ARP3_HUMAN	47 kDa	32	29	32	31	31	30	25	27	20	24	23	21
Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2	MAP1B_HUMAN	271 kDa	14	15	15	20	12	8	35	35	35	36	34	32
Proteasome subunit beta type-5 OS=Homo sapiens GN=PSMB5 PE=1 SV=3	PSB5_HUMAN	28 kDa	24	25	25	25	26	24	31	32	24	33	25	26
Proteasome subunit alpha type-6 OS=Homo sapiens GN=PSMA6 PE=1 SV=1	PSA6_HUMAN	27 kDa	16	22	18	19	18	25	30	28	23	23	20	22
10 kDa heat shock protein, mitochondrial OS=Homo sapiens GN=HSPE1 PE=1 SV=2	CH10_HUMAN	11 kDa	16	24	21	16	21	25	23	25	24	24	25	28
Endothelial protein C receptor OS=Homo sapiens GN=PROCR PE=1 SV=1	EPCR_HUMAN	27 kDa	20	18	18	22	18	19	38	36	32	37	33	31
Disintegrin and metalloproteinase domain-containing protein 9 OS=Homo sapiens GN=ADAM9 PE=1 SV=1	ADAM9_HUMAN	91 kDa	13	17	15	13	13	12	31	32	24	30	36	27
Importin subunit beta-1 OS=Homo sapiens GN=KPNB1 PE=1 SV=2	IMB1_HUMAN	97 kDa	32	28	28	24	26	25	28	23	22	15	10	13
DNA damage-binding protein 1 OS=Homo sapiens GN=DDB1 PE=1 SV=1	DDB1_HUMAN	127 kDa	25	22	22	27	26	26	21	25	19	28	18	21
Ribonuclease inhibitor OS=Homo sapiens GN=RNH1 PE=1 SV=2	RINI_HUMAN	50 kDa	26	22	26	27	21	21	26	27	21	25	19	18
Collagen alpha-1(VI) chain OS=Homo sapiens GN=COL6A1 PE=1 SV=3	CO6A1_HUMAN	109 kDa	20	24	21	22	18	25	21	29	19	33	25	22
Ubiquitin-like modifier-activating enzyme 1 OS=Homo sapiens GN=UBA1 PE=1 SV=3	UBA1_HUMAN	118 kDa	26	29	25	25	22	21	22	27	14	19	13	8
Cytochrome c OS=Homo sapiens GN=CYCS PE=1 SV=2	CYC_HUMAN	12 kDa	17	16	18	17	16	18	20	20	17	26	20	23
60S ribosomal protein L10a OS=Homo sapiens GN=RPL10A PE=1 SV=2	RL10A_HUMAN	25 kDa	15	22	18	22	15	21	28	25	23	22	21	22
Receptor-type tyrosine-protein phosphatase kappa OS=Homo sapiens GN=PTPRK PE=1 SV=2	PTPRK_HUMAN	162 kDa	38	41	35	42	35	32	6	8	9	12	7	9
Calpastatin OS=Homo sapiens GN=CAST PE=1 SV=4	ICAL_HUMAN	77 kDa	13	20	24	18	17	16	29	22	21	25	23	20
Beta-1,4-galactosyltransferase 1 OS=Homo sapiens GN=B4GALT1 PE=1 SV=5	B4GT1_HUMAN	44 kDa	16	23	25	18	17	18	24	23	26	25	16	21
Versican core protein OS=Homo sapiens GN=VCAN PE=1 SV=3	CSPG2_HUMAN	373 kDa	29	35	36	38	43	38	1	1	1	3	2	3
Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	IF4A1_HUMAN	46 kDa	20	21	18	23	14	15	34	25	19	25	16	9
Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1	IQGA1_HUMAN	189 kDa	25	33	30	29	22	22	19	17	18	15	14	13
Proteasome subunit alpha type-7 OS=Homo sapiens GN=PSMA7 PE=1 SV=1	PSA7_HUMAN	28 kDa	17	21	23	23	21	17	30	26	22	23	20	21
Angiopoietin-related protein 4 OS=Homo sapiens GN=ANGPTL4 PE=1 SV=2	ANGL4_HUMAN	45 kDa	36	39	37	38	38	42	2	2	0	1	1	0
Glucosidase 2 subunit beta OS=Homo sapiens GN=PRKCSH PE=1 SV=2	GLU2B_HUMAN	59 kDa	20	17	20	28	23	20	26	22	17	27	22	20
Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3	APOH_HUMAN	38 kDa	4	5	4	4	5	5	38	36	27	39	35	34
Dihydropyrimidinase-related protein 2 OS=Homo sapiens GN=DPYSL2 PE=1 SV=1	DPYL2_HUMAN	62 kDa	20	20	23	22	18	14	24	26	21	28	22	22
Heterogeneous nuclear ribonucleoprotein K OS=Homo sapiens GN=HNRNPK PE=1 SV=1	HNRPK_HUMAN	51 kDa	23	21	22	26	28	23	20	23	14	18	17	16
Polyadenylate-binding protein 1 OS=Homo sapiens GN=PABPC1 PE=1 SV=2	PABP1_HUMAN	71 kDa	17	24	21	21	16	18	28	31	26	28	17	16
Multiple inositol polyphosphate phosphatase 1 OS=Homo sapiens GN=MINPP1 PE=1 SV=1	MINP1_HUMAN	55 kDa	12	14	13	10	8	12	22	23	19	20	17	21
Proteasome subunit alpha type-5 OS=Homo sapiens GN=PSMA5 PE=1 SV=3	PSA5_HUMAN	26 kDa	19	17	17	16	15	15	25	20	21	21	19	16
Dickkopf-related protein 1 OS=Homo sapiens GN=DKK1 PE=1 SV=1	DKK1_HUMAN	29 kDa	7	5	5	5	9	5	39	46	32	40	29	32
Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1	PSB7_HUMAN	30 kDa	17	20	19	17	17	19	23	23	20	22	20	19
Coiled-coil domain-containing protein 80 OS=Homo sapiens GN=CCDC80 PE=1 SV=1	CCD80_HUMAN	108 kDa	40	42	39	45	48	39	1	1	0	1	1	0
Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	TLN1_HUMAN	270 kDa	17	17	23	17	15	22	16	16	6	10	8	10
Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2	FIBA_HUMAN	95 kDa	0	0	0	0	0	0	51	51	39	39	36	32
Acidic leucine-rich nuclear phosphoprotein 32 family member A OS=Homo sapiens GN=ANP32A PE=1 SV=1	AN32A_HUMAN	29 kDa	16	25	23	12	6	8	32	29	26	20	19	18
Nuclear transport factor 2 OS=Homo sapiens GN=NUTF2 PE=1 SV=1	NTF2_HUMAN	14 kDa	20	22	22	20	20	19	21	16	13	15	19	19
Transforming growth factor beta-2 OS=Homo sapiens GN=TGFB2 PE=1 SV=1	TGFB2_HUMAN	48 kDa	13	15	12	10	12	13	18	19	15	23	24	26
Myristoylated alanine-rich C-kinase substrate OS=Homo sapiens GN=MARCKS PE=1 SV=4	MARCS_HUMAN	32 kDa	23	27	28	24	20	24	11	15	16	14	13	15
Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2	PSA2_HUMAN	26 kDa	18	15	14	18	16	17	23	24	25	25	24	19
Phosphoribosylformylglycinamidine synthase OS=Homo sapiens GN=PFAS PE=1 SV=4	PUR4_HUMAN	145 kDa	16	12	15	15	14	16	24	25	18	23	15	21
Cytosolic non-specific dipeptidase OS=Homo sapiens GN=CNDP2 PE=1 SV=2	CNDP2_HUMAN	53 kDa	13	18	15	19	17	15	19	24	22	19	20	23
Fatty acid-binding protein, epidermal OS=Homo sapiens GN=FABP5 PE=1 SV=3	FABP5_HUMAN	15 kDa	20	18	20	24	19	20	25	22	18	22	18	15
Calumenin OS=Homo sapiens GN=CALU PE=1 SV=2	CALU_HUMAN	37 kDa	15	14	16	16	20	19	18	19	19	17	24	19
Phosphoglucomutase-1 OS=Homo sapiens GN=PGM1 PE=1 SV=3	PGM1_HUMAN	61 kDa	20	16	18	16	20	17	20	21	11	22	13	20
Adenylyl cyclase-associated protein 1 OS=Homo sapiens GN=CAP1 PE=1 SV=5	CAP1_HUMAN	52 kDa	24	30	30	21	21	22	12	18	13	15	5	6
Soluble calcium-activated nucleotidase 1 OS=Homo sapiens GN=CANT1 PE=1 SV=1	CANT1_HUMAN	45 kDa	16	14	14	12	15	15	25	22	18	25	24	23
Cullin-associated NEDD8-dissociated protein 1 OS=Homo sapiens GN=CAND1 PE=1 SV=2	CAND1_HUMAN	136 kDa	21	19	19	18	20	13	23	21	13	16	15	11
Peptidyl-prolyl cis-trans isomerase FKBP4 OS=Homo sapiens GN=FKBP4 PE=1 SV=3	FKBP4_HUMAN	52 kDa	10	17	18	11	13	13	31	34	27	25	18	19
Cysteine and glycine-rich protein 1 OS=Homo sapiens GN=CSRP1 PE=1 SV=3	CSRP1_HUMAN	21 kDa	16	23	24	18	24	24	18	18	15	18	15	14
Heterogeneous nuclear ribonucleoprotein L OS=Homo sapiens GN=HNRNPL PE=1 SV=2	HNRPL_HUMAN	64 kDa	21	22	25	16	24	17	20	20	16	18	15	15
Ribonuclease 4 OS=Homo sapiens GN=RNASE4 PE=1 SV=3	RNAS4_HUMAN	17 kDa	10	12	13	11	9	12	31	31	27	27	28	27
Tripeptidyl-peptidase 1 OS=Homo sapiens GN=TPP1 PE=1 SV=2	TPP1_HUMAN	61 kDa	18	16	17	18	12	14	20	21	18	21	23	19
Elongation factor 1-gamma OS=Homo sapiens GN=EEF1G PE=1 SV=3	EF1G_HUMAN	50 kDa	21	21	20	17	15	15	25	22	10	9	7	7
Semaphorin-7A OS=Homo sapiens GN=SEMA7A PE=1 SV=1	SEM7A_HUMAN	75 kDa	28	37	31	35	33	36	0	0	0	0	0	0
Rho GDP-dissociation inhibitor 1 OS=Homo sapiens GN=ARHGDIA PE=1 SV=3	GDIR1_HUMAN	23 kDa	17	24	13	18	18	13	20	18	11	9	14	10
G-protein coupled receptor 126 OS=Homo sapiens GN=GPR126 PE=1 SV=3	GP126_HUMAN	137 kDa	13	14	13	11	9	14	25	28	23	27	26	24
Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3	PEPD_HUMAN	55 kDa	15	13	14	21	15	13	13	14	13	21	16	19
Cadherin-4 OS=Homo sapiens GN=CDH4 PE=2 SV=2	CADH4_HUMAN	100 kDa	23	29	28	26	29	34	11	7	9	11	8	10
Dipeptidyl peptidase 3 OS=Homo sapiens GN=DPP3 PE=1 SV=2	DPP3_HUMAN	83 kDa	12	11	14	16	15	16	18	23	18	27	19	14
Tyrosine-protein phosphatase non-receptor type substrate 1 OS=Homo sapiens GN=SIRPA PE=1 SV=2	SHPS1_HUMAN	55 kDa	27	31	28	31	32	34	6	3	3	10	10	8
Elongation factor 1-beta OS=Homo sapiens GN=EEF1B2 PE=1 SV=3	EF1B_HUMAN	25 kDa	21	13	15	18	13	18	17	19	17	9	13	11
C-X-C motif chemokine 5 OS=Homo sapiens GN=CXCL5 PE=1 SV=1	CXCL5_HUMAN	12 kDa	17	18	17	18	19	17	21	22	19	22	18	17
Serine protease 23 OS=Homo sapiens GN=PRSS23 PE=1 SV=1	PRS23_HUMAN	43 kDa	13	18	18	16	17	18	23	23	19	18	17	14
Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2	HPRT_HUMAN	25 kDa	21	19	19	16	15	20	19	20	17	20	17	17
Latent-transforming growth factor beta-binding protein 1 OS=Homo sapiens GN=LTBP1 PE=1 SV=4	LTBP1_HUMAN	187 kDa	27	29	28	23	24	31	4	6	5	2	5	5
45 kDa calcium-binding protein OS=Homo sapiens GN=SDF4 PE=1 SV=1	CAB45_HUMAN	42 kDa	16	12	7	12	12	13	17	20	8	22	20	18
Proteasome subunit beta type-2 OS=Homo sapiens GN=PSMB2 PE=1 SV=1	PSB2_HUMAN	23 kDa	15	21	16	13	16	16	18	18	17	16	13	13
N-acetylgalactosamine-6-sulfatase OS=Homo sapiens GN=GALNS PE=1 SV=1	GALNS_HUMAN	58 kDa	12	10	10	13	14	10	18	18	15	22	26	23
GTP-binding nuclear protein Ran OS=Homo sapiens GN=RAN PE=1 SV=3	RAN_HUMAN	24 kDa	11	19	19	14	18	16	18	21	15	11	17	15
Carbonyl reductase [NADPH] 1 OS=Homo sapiens GN=CBR1 PE=1 SV=3	CBR1_HUMAN	30 kDa	12	13	15	14	13	12	18	21	21	26	20	25
Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens GN=ADAM10 PE=1 SV=1	ADA10_HUMAN	84 kDa	13	17	15	21	15	16	18	17	14	15	17	15
Lactoylglutathione lyase OS=Homo sapiens GN=GLO1 PE=1 SV=4	LGUL_HUMAN	21 kDa	17	15	12	19	19	11	14	12	10	13	11	12
Amphoterin-induced protein 2 OS=Homo sapiens GN=AMIGO2 PE=1 SV=1	AMGO2_HUMAN	58 kDa	20	25	28	23	22	27	7	7	8	11	9	7
CD44 antigen OS=Homo sapiens GN=CD44 PE=1 SV=3	CD44_HUMAN	82 kDa	20	19	19	22	21	20	14	14	13	16	12	14
Destrin OS=Homo sapiens GN=DSTN PE=1 SV=3	DEST_HUMAN	19 kDa	13	18	17	11	10	13	20	22	16	13	14	13
Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	NP1L1_HUMAN	45 kDa	21	25	23	14	16	15	17	16	16	6	12	9
Plasma alpha-L-fucosidase OS=Homo sapiens GN=FUCA2 PE=1 SV=2	FUCO2_HUMAN	54 kDa	5	8	7	9	11	11	21	26	24	25	24	27
Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=1 SV=1	HNRPD_HUMAN	38 kDa	18	17	18	18	11	19	16	18	15	18	15	13
Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 OS=Homo sapiens GN=NUCKS1 PE=1 SV=1	NUCKS_HUMAN	27 kDa	17	19	21	12	15	13	17	19	18	18	16	16
Poliovirus receptor OS=Homo sapiens GN=PVR PE=1 SV=2	PVR_HUMAN	45 kDa	18	17	19	18	19	18	15	14	17	15	17	14
Tyrosine-protein kinase receptor UFO OS=Homo sapiens GN=AXL PE=1 SV=3	UFO_HUMAN	98 kDa	10	12	15	12	11	12	17	19	15	27	23	18
Stanniocalcin-1 OS=Homo sapiens GN=STC1 PE=1 SV=1	STC1_HUMAN	28 kDa	33	32	26	34	36	31	0	3	1	4	2	1
Biotinidase OS=Homo sapiens GN=BTD PE=1 SV=2	BTD_HUMAN	61 kDa	9	9	12	14	10	10	20	21	18	29	24	23
SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1	SH3L1_HUMAN	13 kDa	20	19	17	17	18	18	18	17	15	19	20	15
Thymosin beta-4 OS=Homo sapiens GN=TMSB4X PE=1 SV=2	TYB4_HUMAN	5 kDa	12	15	11	11	9	7	18	14	15	20	13	12
Nuclear autoantigenic sperm protein OS=Homo sapiens GN=NASP PE=1 SV=2	NASP_HUMAN	85 kDa	17	14	15	19	13	11	18	21	18	12	10	10
Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 OS=Homo sapiens GN=PLOD1 PE=1 SV=2	PLOD1_HUMAN	84 kDa	9	10	11	11	10	11	20	20	19	23	19	22
4F2 cell-surface antigen heavy chain OS=Homo sapiens GN=SLC3A2 PE=1 SV=3	4F2_HUMAN	68 kDa	8	5	8	7	5	7	24	28	24	36	29	29
Polypyrimidine tract-binding protein 1 OS=Homo sapiens GN=PTBP1 PE=1 SV=1	PTBP1_HUMAN	57 kDa	24	21	22	17	20	20	14	14	15	11	7	8
Coronin-1C OS=Homo sapiens GN=CORO1C PE=1 SV=1	COR1C_HUMAN	53 kDa	19	18	18	16	18	16	15	16	15	11	9	14
Keratin, type II cytoskeletal 7 OS=Homo sapiens GN=KRT7 PE=1 SV=5	K2C7_HUMAN	51 kDa	27	32	30	28	25	32	16	17	17	15	13	17
14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4	1433F_HUMAN	28 kDa	19	23	21	23	19	23	32	29	26	24	23	20
Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3	CALD1_HUMAN	93 kDa	20	25	22	24	23	28	6	10	8	10	9	9
Rab GDP dissociation inhibitor alpha OS=Homo sapiens GN=GDI1 PE=1 SV=2	GDIA_HUMAN	51 kDa	43	43	39	41	39	39	38	38	32	42	37	38
Heterogeneous nuclear ribonucleoprotein Q OS=Homo sapiens GN=SYNCRIP PE=1 SV=2	HNRPQ_HUMAN	70 kDa	12	20	21	16	15	15	15	19	19	14	13	18
Reticulocalbin-1 OS=Homo sapiens GN=RCN1 PE=1 SV=1	RCN1_HUMAN	39 kDa	15	13	12	17	17	14	15	17	14	16	14	18
Dipeptidyl peptidase 1 OS=Homo sapiens GN=CTSC PE=1 SV=2	CATC_HUMAN	52 kDa	4	3	1	3	4	1	31	28	21	34	26	22
Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2	PSA3_HUMAN	28 kDa	13	13	14	12	14	13	13	15	13	16	13	13
Glycine--tRNA ligase OS=Homo sapiens GN=GARS PE=1 SV=3	SYG_HUMAN	83 kDa	14	13	10	10	11	7	21	26	18	19	16	10
Peroxiredoxin-6 OS=Homo sapiens GN=PRDX6 PE=1 SV=3	PRDX6_HUMAN	25 kDa	17	19	17	17	21	16	14	16	12	13	10	11
